"codigoestacion","codigosensor","fechaobservacion","valorobservado","nombreestacion","departamento","municipio","zonahidrografica","latitud","longitud","descripcionsensor","unidadmedida"
"0021202230","0068","2015-03-11T01:55:00.000","14.8","UAN SEDE USME - FOPAE","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.467","-74.117","Temp Aire 2 m","°C"
"0013095010","0068","2006-11-03T22:00:00.000","29.3","COVEÑAS - DIMAR","SUCRE","TOLÚ","CARIBE - LITORAL","9.383","-75.667","Temp Aire 2 m","°C"
"0026135300","0068","2013-03-15T12:00:00.000","20.3","PNN QUIMBAYA - AUT","RISARALDA","PEREIRA","CAUCA","4.761916667","-75.74491667","Temp Aire 2 m","°C"
"0026125502","0068","2017-08-14T06:25:00.000","17.81957","CAICEDONIA  - AUT","VALLE DEL CAUCA","CAICEDONIA","CAUCA","4.297558333","-75.86396111","Temp Aire 2 m","°C"
"0021195160","0068","2007-09-01T18:00:00.000","15.4","SUBIA","CUNDINAMARCA","SILVANIA","ALTO MAGDALENA","4.477","-74.384","Temp Aire 2 m","°C"
"0021202240","0068","2011-07-03T15:10:00.000","25.66","UAN SEDE CIRCUNVALAR - FOPAE","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.633","-74.05","Temp Aire 2 m","°C"
"0052055220","0068","2014-06-19T05:00:00.000","0","EL PARAISO - AUT","NARIÑO","TÚQUERRES","PATÍA","1.070611111","-77.63688889","Temp Aire 2 m","°C"
"0026145506","0068","2019-05-02T12:40:00.000","32.53728","FILO BONITO  - AUT","CALDAS","BELALCAZAR","CAUCA","4.986358333","-75.84574722","Temp Aire 2 m","°C"
"2120000106","0068","2019-08-02T06:17:00.000","7.312","GRAN BRETAÑA - AUT","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.512","-74.164","Temp Aire 2 m","°C"
"0021201980","0068","2016-05-06T08:15:00.000","14","CERRO GUADALUPE - FOPAE","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.567","-74.05","Temp Aire 2 m","°C"
"0026065502","0068","2018-04-22T21:10:00.000","18.27819","TRINIDAD LA  - AUT","CAUCA","PIENDAMÓ","CAUCA","2.750555556","-76.57916667","Temp Aire 2 m","°C"
"0021202170","0068","2014-09-18T08:10:00.000","14.9","SIERRA MORENA - FOPAE","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.567","-74.167","Temp Aire 2 m","°C"
"0021035501","0068","2018-08-28T06:45:00.000","15.72883","ACEVEDO  - AUT","HUILA","ACEVEDO","ALTO MAGDALENA","1.763191667","-75.93224722","Temp Aire 2 m","°C"
"0052055501","0068","2017-11-21T06:15:00.000","16.37376","OSPINA PEREZ  - AUT","NARIÑO","CONSACÁ","PATÍA","1.254722222","-77.48777778","Temp Aire 2 m","°C"
"0036015020","0068","2005-10-24T04:00:00.000","11.9","EL DIAMANTE - AUT","CASANARE","PAZ DE ARIPORO","META","5.816194444","-71.41983333","Temp Aire 2 m","°C"
"0026135503","0068","2017-11-03T15:45:00.000","23.62192","NARANJAL  - AUT","CALDAS","CHINCHINA","CAUCA","4.971944444","-75.65221944","Temp Aire 2 m","°C"
"0029015000","0068","2014-09-21T14:00:00.000","30.8","EL GUAMO - AUT","BOLIVAR","EL GUAMO","BAJO MAGDALENA","10.06444444","-74.85222222","Temp Aire 2 m","°C"
"0026125508","0068","2018-10-28T16:50:00.000","27.44129","LACATALINA  - AUT","RISARALDA","PEREIRA","CAUCA","4.7475","-75.73805556","Temp Aire 2 m","°C"
"0051025080","0068","2013-12-30T15:00:00.000","21.3","ALTAQUER - AUT","NARIÑO","BARBACOAS","MIRA","1.248333333","-78.0925","Temp Aire 2 m","°C"
"0021165501","0068","2016-08-05T13:10:00.000","24.1","DOLORES  - AUT","TOLIMA","DOLORES","ALTO MAGDALENA","3.537155556","-74.82982778","Temp Aire 2 m","°C"
"0021201200","0068","2014-09-20T15:15:00.000","11.09","ESC LA UNION - FOPAE","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.343","-74.184","Temp Aire 2 m","°C"
"0029035000","0068","2018-06-15T14:00:00.000","30.9","SINCERIN  - AUT","BOLIVAR","ARJONA","BAJO MAGDALENA","10.14258333","-75.27827778","Temp Aire 2 m","°C"
"0026135310","0068","2006-08-15T23:00:00.000","18.5","STA ROSA - En Siniestro","RISARALDA","SANTA ROSA DE CABAL","CAUCA","4.847","-75.636","Temp Aire 2 m","°C"
"0021195170","0068","2017-09-23T08:00:00.000","14","PAQUILO - AUT","CUNDINAMARCA","CABRERA","ALTO MAGDALENA","3.993611111","-74.39805556","Temp Aire 2 m","°C"
"0052055150","0068","2014-01-21T16:00:00.000","10.3","CERRO PARAMO  - AUT","NARIÑO","PUERRES","PATÍA","0.843111111","-77.38880556","Temp Aire 2 m","°C"
"0021015070","0068","2005-11-17T01:00:00.000","16.1","LOS GUACHAROS  - AUT","HUILA","PALESTINA","ALTO MAGDALENA","1.675833","-76.106841","Temp Aire 2 m","°C"
"0026155503","0068","2018-07-28T07:30:00.000","18.34584","PLANALTO  - AUT","CALDAS","MANIZALES","CAUCA","4.989722222","-75.58971944","Temp Aire 2 m","°C"
"0026185501","0068","2017-10-17T02:05:00.000","20.08847","SONSON  - AUT","ANTIOQUIA","SONSÓN","CAUCA","5.677719444","-75.34780556","Temp Aire 2 m","°C"
"0026185501","0068","2016-08-17T05:20:00.000","18.7","SONSON  - AUT","ANTIOQUIA","SONSÓN","CAUCA","5.677719444","-75.34780556","Temp Aire 2 m","°C"
"0026115501","0068","2019-04-08T19:10:00.000","18.30832","MANUEL MARIA MALLARINO  - AUT","VALLE DEL CAUCA","TRUJILLO","CAUCA","4.213611111","-76.31497222","Temp Aire 2 m","°C"
"0014015020","0068","2015-12-20T01:00:00.000","26.9","APTO RAFAEL NUÑEZ  TX GPRS","BOLÍVAR","CARTAGENA","CARIBE - LITORAL","10.447","-75.516","Temp Aire 2 m","°C"
"0021201980","0068","2011-03-21T05:40:00.000","11.6","CERRO GUADALUPE - FOPAE","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.567","-74.05","Temp Aire 2 m","°C"
"0023065502","0068","2018-06-23T20:50:00.000","15.25335","LA PALMA  - AUT","CUNDINAMARCA","LA PALMA","MEDIO MAGDALENA","5.330266667","-74.40156111","Temp Aire 2 m","°C"
"0023065180","0068","2017-09-11T09:00:00.000","23","VILLETA - AUT","CUNDINAMARCA","VILLETA","MEDIO MAGDALENA","5.016861111","-74.47097222","Temp Aire 2 m","°C"
"0026165501","0068","2018-01-18T23:00:00.000","4.724049","EL CIPRES  - AUT","CALDAS","SALAMINA","CAUCA","5.433333333","-75.5","Temp Aire 2 m","°C"
"0052015501","0068","2019-04-16T05:25:00.000","16.16697","BALBOA  - AUT","CAUCA","BALBOA","PATÍA","2.125191667","-77.19266667","Temp Aire 2 m","°C"
"0026145507","0068","2019-01-29T11:20:00.000","26.16703","LAS TANGAS  - AUT","CALDAS","BELALCAZAR","CAUCA","5.038","-75.80599722","Temp Aire 2 m","°C"
"0023015501","0068","2017-06-08T03:05:00.000","18.33744","FRESNO  - AUT","TOLIMA","FRESNO","MEDIO MAGDALENA","5.155638889","-75.00313611","Temp Aire 2 m","°C"
"0021215180","0068","2014-11-10T13:00:00.000","0","BATALLON ROOKE  - AUT","TOLIMA","IBAGUÉ","ALTO MAGDALENA","4.418388889","-75.24866667","Temp Aire 2 m","°C"
"0021206930","0068","2019-01-09T12:00:00.000","13.8","PARAMO GUERRERO  - AUT","CUNDINAMARCA","ZIPAQUIRÁ","ALTO MAGDALENA","5.086444444","-74.02216667","Temp Aire 2 m","°C"
"0021208480","0068","2014-03-05T18:10:00.000","16.7","KENNEDY - FOPAE","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.633","-74.15","Temp Aire 2 m","°C"
"0021206950","0068","2008-10-01T01:00:00.000","7.5","PARAMO GUACHENEQUE  - AUT","CUNDINAMARCA","VILLAPINZÓN","ALTO MAGDALENA","5.236055556","-73.52508333","Temp Aire 2 m","°C"
"0021205524","0068","2019-04-20T05:20:00.000","9.804","VETA LARGA  - AUT","CUNDINAMARCA","ZIPAQUIRÁ","ALTO MAGDALENA","5.075","-74.057","Temp Aire 2 m","°C"
"0026125504","0068","2019-07-05T06:40:00.000","18.42117","PARAGUAICITO  - AUT","QUINDÍO","BUENAVISTA","CAUCA","4.395555556","-75.73416667","Temp Aire 2 m","°C"
"0026135501","0068","2016-08-23T02:40:00.000","17.3","EL PILAMO  - AUT","RISARALDA","PEREIRA","CAUCA","4.868333333","-75.79333333","Temp Aire 2 m","°C"
